5;Colorado Rapids;Portland Timbers;Dick's Sporting Goods Park;MLS-MAT-0005VG;en es
5;Columbus Crew Sc;New York City FC;Lower.com Field;MLS-MAT-0005V9;en
5;Sporting Kansas City;Los Angeles FC;Children's Mercy Park;MLS-MAT-0005VE;en es
5;Minnesota United FC;LA Galaxy;Allianz Field;MLS-MAT-0005V7;en es
5;Nashville SC;Montreal Impact;Geodis Park;MLS-MAT-0005VF;en
5;New England Revolution;Inter Miami CF;Gillette Stadium;MLS-MAT-0005VA;en
5;New York Red Bulls;Toronto FC;Sports Illustrated Stadium;MLS-MAT-0005VB;en es
5;Orlando City SC;D.C. United;Inter&Co Stadium;MLS-MAT-0005VC;en
5;Philadelphia Union;St. Louis City SC;Subaru Park;MLS-MAT-0005VD;en
5;Real Salt Lake;FC Dallas;America First Field;MLS-MAT-0005VH;en es
5;Seattle Sounders FC;Houston Dynamo FC;Lumen Field;MLS-MAT-0005VI;en
5;Vancouver Whitecaps FC;Chicago Fire FC;BC Place;MLS-MAT-0005VJ;en
6;Atlanta United FC;New York City FC;Mercedes-Benz Stadium;MLS-MAT-0005VO;en es
6;Chicago Fire FC;Montreal Impact;Soldier Field;MLS-MAT-0005VR;en es
6;Colorado Rapids;Charlotte FC;Dick's Sporting Goods Park;MLS-MAT-0005VN;en es
6;D.C. United;Columbus Crew Sc;Audi Field;MLS-MAT-0005VP;en es
6;FC Dallas;Sporting Kansas City;Toyota Stadium;MLS-MAT-0005VS;en
6;LA Galaxy;Orlando City SC;Dignity Health Sports Park;MLS-MAT-0005VV;en es
6;Inter Miami CF;Philadelphia Union;Chase Stadium;MLS-MAT-0005VQ;en es
6;Minnesota United FC;Real Salt Lake;Allianz Field;MLS-MAT-0005VT;en es
6;Nashville SC;FC Cincinnati;Geodis Park;MLS-MAT-0005VU;en
6;New England Revolution;New York Red Bulls;Gillette Stadium;MLS-MAT-0005VL;en
6;Portland Timbers;Houston Dynamo FC;Providence Park;MLS-MAT-0005VZ;en es
6;San Diego FC;Los Angeles FC;Snapdragon Stadium;MLS-MAT-0005VW;en es
6;San Jose Earthquakes;Seattle Sounders FC;PayPal Park;MLS-MAT-0005VX;en es
6;St. Louis City SC;Austin FC;Energizer Park;MLS-MAT-0005VY;en es
6;Toronto FC;Vancouver Whitecaps FC;BMO Field;MLS-MAT-0005VM;en
7;Atlanta United FC;FC Dallas;Mercedes-Benz Stadium;MLS-MAT-0005W2;en es
7;Austin FC;Portland Timbers;Q2 Stadium;MLS-MAT-0005WC;en es
7;Charlotte FC;Nashville SC;Bank of America Stadium;MLS-MAT-0005W0;en es
7;FC Cincinnati;New England Revolution;TQL Stadium;MLS-MAT-0005W3;en es
7;Columbus Crew Sc;Montreal Impact;Lower.com Field;MLS-MAT-0005W4;en
7;Houston Dynamo FC;Los Angeles FC;Shell Energy Stadium;MLS-MAT-0005W8;en es
7;Sporting Kansas City;St. Louis City SC;Children's Mercy Park;MLS-MAT-0005W9;en es
7;Inter Miami CF;Toronto FC;Chase Stadium;MLS-MAT-0005W5;en es
7;New York Red Bulls;Chicago Fire FC;Sports Illustrated Stadium;MLS-MAT-0005W6;en es
7;New York City FC;Minnesota United FC;Yankee Stadium;MLS-MAT-0005WD;en es
7;Philadelphia Union;Orlando City SC;Subaru Park;MLS-MAT-0005W7;en
7;Real Salt Lake;LA Galaxy;America First Field;MLS-MAT-0005W1;en es
7;San Diego FC;Seattle Sounders FC;Snapdragon Stadium;MLS-MAT-0005WA;en es
7;San Jose Earthquakes;D.C. United;PayPal Park;MLS-MAT-0005WE;en es
7;Vancouver Whitecaps FC;Colorado Rapids;BC Place;MLS-MAT-0005WB;en
8;Atlanta United FC;New England Revolution;Mercedes-Benz Stadium;MLS-MAT-0005WF;en es
8;Chicago Fire FC;Inter Miami CF;Soldier Field;MLS-MAT-0005WS;en es
8;Colorado Rapids;San Diego FC;Dick's Sporting Goods Park;MLS-MAT-0005WN;en es
8;D.C. United;FC Cincinnati;Audi Field;MLS-MAT-0005WI;en es
8;FC Dallas;Seattle Sounders FC;Toyota Stadium;MLS-MAT-0005WL;en
8;Sporting Kansas City;Portland Timbers;Children's Mercy Park;MLS-MAT-0005WR;en es
8;LA Galaxy;Houston Dynamo FC;Dignity Health Sports Park;MLS-MAT-0005WO;en es
8;Los Angeles FC;San Jose Earthquakes;BMO Stadium;MLS-MAT-0005WP;en es
8;Montreal Impact;Charlotte FC;Saputo Stadium;MLS-MAT-0005WJ;en fr
8;Nashville SC;Real Salt Lake;Geodis Park;MLS-MAT-0005WM;en
8;New York City FC;Philadelphia Union;Citi Field;MLS-MAT-0005WK;en es
8;Orlando City SC;New York Red Bulls;Inter&Co Stadium;MLS-MAT-0005WH;en
8;St. Louis City SC;Columbus Crew Sc;Energizer Park;MLS-MAT-0005WT;en es
8;Toronto FC;Minnesota United FC;BMO Field;MLS-MAT-0005WG;en
8;Vancouver Whitecaps FC;Austin FC;BC Place;MLS-MAT-0005WQ;en
9;Austin FC;LA Galaxy;Q2 Stadium;MLS-MAT-0005WU;en es
9;Charlotte FC;San Diego FC;Bank of America Stadium;MLS-MAT-0005WW;en es
9;Chicago Fire FC;FC Cincinnati;Soldier Field;MLS-MAT-0005X0;en es
9;Columbus Crew Sc;Inter Miami CF;Mobile Rack;MLS-MAT-0005WV;en
9;Houston Dynamo FC;Colorado Rapids;Shell Energy Stadium;MLS-MAT-0005X1;en es
9;Minnesota United FC;FC Dallas;Allianz Field;MLS-MAT-0005X8;en es
9;Montreal Impact;Orlando City SC;Saputo Stadium;MLS-MAT-0005WX;en fr
9;New England Revolution;New York City FC;Gillette Stadium;MLS-MAT-0005WY;en
9;New York Red Bulls;D.C. United;Sports Illustrated Stadium;MLS-MAT-0005WZ;en es
9;Philadelphia Union;Atlanta United FC;Subaru Park;MLS-MAT-0005X7;en
9;Portland Timbers;Los Angeles FC;Providence Park;MLS-MAT-0005X4;en es
9;Real Salt Lake;Toronto FC;America First Field;MLS-MAT-0005X3;en es
9;San Jose Earthquakes;Sporting Kansas City;PayPal Park;MLS-MAT-0005X5;en es
9;Seattle Sounders FC;Nashville SC;Lumen Field;MLS-MAT-0005X6;en
9;St. Louis City SC;Vancouver Whitecaps FC;Energizer Park;MLS-MAT-0005X2;en es
10;Charlotte FC;New England Revolution;Bank of America Stadium;MLS-MAT-0005XE;en es
10;FC Cincinnati;Sporting Kansas City;TQL Stadium;MLS-MAT-0005X9;en es
10;Colorado Rapids;Seattle Sounders FC;Dick's Sporting Goods Park;MLS-MAT-0005XL;en es
10;Columbus Crew Sc;San Jose Earthquakes;Lower.com Field;MLS-MAT-0005XF;en
10;Houston Dynamo FC;Austin FC;Shell Energy Stadium;MLS-MAT-0005XI;en es
10;LA Galaxy;Portland Timbers;Dignity Health Sports Park;MLS-MAT-0005XM;en es
10;Los Angeles FC;St. Louis City SC;BMO Stadium;MLS-MAT-0005XN;en es
10;Inter Miami CF;FC Dallas;Chase Stadium;MLS-MAT-0005XG;en es
10;Minnesota United FC;Vancouver Whitecaps FC;Allianz Field;MLS-MAT-0005XJ;en es
10;Nashville SC;Chicago Fire FC;Geodis Park;MLS-MAT-0005XK;en
10;New York Red Bulls;Montreal Impact;Sports Illustrated Stadium;MLS-MAT-0005XB;en es
10;Orlando City SC;Atlanta United FC;Inter&Co Stadium;MLS-MAT-0005XD;en
10;Philadelphia Union;D.C. United;Subaru Park;MLS-MAT-0005XC;en
10;San Diego FC;Real Salt Lake;Snapdragon Stadium;MLS-MAT-0005XH;en es
10;Toronto FC;New York City FC;BMO Field;MLS-MAT-0005XA;en
11;Atlanta United FC;Nashville SC;Mercedes-Benz Stadium;MLS-MAT-0005XO;en es
11;Austin FC;Minnesota United FC;Q2 Stadium;MLS-MAT-0005XU;en es
11;Chicago Fire FC;Orlando City SC;Soldier Field;MLS-MAT-0005XV;en es
11;Columbus Crew Sc;Charlotte FC;Lower.com Field;MLS-MAT-0005XQ;en
11;D.C. United;Colorado Rapids;Audi Field;MLS-MAT-0005XR;en es
11;Sporting Kansas City;LA Galaxy;Children's Mercy Park;MLS-MAT-0005Y2;en es
11;Los Angeles FC;Houston Dynamo FC;BMO Stadium;MLS-MAT-0005XX;en es
11;Inter Miami CF;New York Red Bulls;Chase Stadium;MLS-MAT-0005XS;en es
11;Montreal Impact;Philadelphia Union;Saputo Stadium;MLS-MAT-0005XT;en fr
11;New York City FC;FC Cincinnati;Citi Field;MLS-MAT-0005Y1;en es
11;San Diego FC;FC Dallas;Snapdragon Stadium;MLS-MAT-0005XW;en es
11;San Jose Earthquakes;Portland Timbers;PayPal Park;MLS-MAT-0005XY;en es
11;Seattle Sounders FC;St. Louis City SC;Lumen Field;MLS-MAT-0005XZ;en
11;Toronto FC;New England Revolution;BMO Field;MLS-MAT-0005XP;en
